"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"Sunday Artisan Market","50588","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-12-30 10:00:00","2018-12-30 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"Old Town Artisan's Market","50424","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-30 09:00:00","2018-12-30 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2018 Hillcrest Farmers' Market (Sundays)","49953","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-12-30 09:00:00","2018-12-30 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50423","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-29 09:00:00","2018-12-29 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","50130","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-12-29 09:00:00","2018-12-29 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","50028","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-12-29 08:00:00","2018-12-29 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"Holiday Bowl 5K","49893","","ATHLETIC","This nationally televised 5K run/walk is a kick-off event to the Weiner Nationals Dachshund Dog Race and the Big Bay Balloon Parade. Thousands of spectators will be lined up along Harbor Drive or peering from building windows cheering on the athletes in anticipation of the parade.","Harbor Dr./Ash St. - Harbor Dr. - walkway - Embarcadero Marina Park North - Ruocco Park. ","2018-12-28 09:45:00","2018-12-28 12:00:00","1,000","100","KOZ Events","www.kozenterprises.com","Harbor Drive & Ash Streeet","32.7093836","-117.1628654"
"North Park Thursday Market","50078","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-12-27 15:00:00","2018-12-27 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50212","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-12-26 16:00:00","2018-12-26 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Sunday Artisan Market","50587","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-12-23 10:00:00","2018-12-23 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49952","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-12-23 09:00:00","2018-12-23 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50422","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-23 09:00:00","2018-12-23 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","50129","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-12-22 09:00:00","2018-12-22 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Ocean Beach Town Council Craft Fair","50804","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-12-22 09:00:00","2018-12-22 16:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
"Old Town Artisan's Market","50421","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-22 09:00:00","2018-12-22 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50027","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-12-22 08:00:00","2018-12-22 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"North Park Thursday Market","50077","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-12-20 15:00:00","2018-12-20 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50211","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-12-19 16:00:00","2018-12-19 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49831","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-12-19 11:00:00","2018-12-19 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50505","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-12-18 14:00:00","2018-12-18 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50586","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-12-16 10:00:00","2018-12-16 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49951","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-12-16 09:00:00","2018-12-16 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50420","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-16 09:00:00","2018-12-16 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Hillcrest Car Show","50154","","FESTIVAL","Come and see classic cars displayed, talk to the owners, and get information on how to join the
LGBT Classic Car Club. ","Normal Street between Harvey Milk Street and University Avenue","2018-12-15 14:00:00","2018-12-15 18:00:00","250","20","Hillcrest Business Association","www.fabuloushillcrest.com","Normal & Harvey Milk Streets","32.7521124","-117.1481502"
"Old Town Artisan's Market","50419","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-15 09:00:00","2018-12-15 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","50128","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-12-15 09:00:00","2018-12-15 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Ocean Beach Town Council Craft Fair","50803","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-12-15 09:00:00","2018-12-15 16:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
"The Mercato Little Italy's Farmers' Market","50026","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-12-15 08:00:00","2018-12-15 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"North Park Thursday Market","50076","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-12-13 15:00:00","2018-12-13 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50210","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-12-12 16:00:00","2018-12-12 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49830","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-12-12 11:00:00","2018-12-12 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50504","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-12-11 14:00:00","2018-12-11 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50585","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-12-09 10:00:00","2018-12-09 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
